,country_name,industry_group_name,year,skill_name,impt_rank
0,Australia,Agriculture,2015,Agriculture,1
1,Australia,Agriculture,2015,Agribusiness,2
2,Australia,Agriculture,2015,Farms,3
3,Australia,Agriculture,2015,Sustainable Agriculture,4
4,Australia,Agriculture,2015,Agronomy,5
5,Australia,Agriculture,2015,Horticulture,6
6,Australia,Agriculture,2015,Dairy Products,7
7,Australia,Agriculture,2015,Crop Protection,8
8,Australia,Agriculture,2015,Rural Development,9
9,Australia,Agriculture,2015,Food Industry,10
10,Australia,Arts,2015,Art,1
11,Australia,Arts,2015,Fine Art,2
12,Australia,Arts,2015,Visual Arts,3
13,Australia,Arts,2015,Contemporary Art,4
14,Australia,Arts,2015,Portrait Photography,5
15,Australia,Arts,2015,Arts Administration,6
16,Australia,Arts,2015,Photography,7
17,Australia,Arts,2015,Digital Photography,8
18,Australia,Arts,2015,Commercial Photography,9
19,Australia,Arts,2015,Performing Arts,10
20,Australia,Construction,2015,Construction,1
21,Australia,Construction,2015,Contract Management,2
22,Australia,Construction,2015,Construction Management,3
23,Australia,Construction,2015,Contractors,4
24,Australia,Construction,2015,Subcontracting,5
25,Australia,Construction,2015,Construction Safety,6
26,Australia,Construction,2015,Project Estimation,7
27,Australia,Construction,2015,Value Engineering,8
28,Australia,Construction,2015,Procurement,9
29,Australia,Construction,2015,Contract Negotiation,10
30,Australia,Consumer Goods,2015,Retail,1
31,Australia,Consumer Goods,2015,Fast-Moving Consumer Goods (FMCG),2
32,Australia,Consumer Goods,2015,Merchandising,3
33,Australia,Consumer Goods,2015,Fashion,4
34,Australia,Consumer Goods,2015,Visual Merchandising,5
35,Australia,Consumer Goods,2015,Account Management,6
36,Australia,Consumer Goods,2015,Forecasting,7
37,Australia,Consumer Goods,2015,Food & Beverage,8
38,Australia,Consumer Goods,2015,Key Account Development,9
39,Australia,Consumer Goods,2015,Inventory Management,10
40,Australia,Corporate Services,2015,Stakeholder Management,1
41,Australia,Corporate Services,2015,MYOB,2
42,Australia,Corporate Services,2015,Income Tax,3
43,Australia,Corporate Services,2015,Tax,4
44,Australia,Corporate Services,2015,Financial Reporting,5
45,Australia,Corporate Services,2015,Change Management,6
46,Australia,Corporate Services,2015,Business Process Improvement,7
47,Australia,Corporate Services,2015,Superannuation,8
48,Australia,Corporate Services,2015,Recruitment Advertising,9
49,Australia,Corporate Services,2015,Contract Recruitment,10
50,Australia,Design,2015,Design Research,1
51,Australia,Design,2015,Residential Design,2
52,Australia,Design,2015,Sustainable Design,3
53,Australia,Design,2015,Architectural Design,4
54,Australia,Design,2015,Design Management,5
55,Australia,Design,2015,Architectural Drawings,6
56,Australia,Design,2015,Revit,7
57,Australia,Design,2015,Adobe InDesign,8
58,Australia,Design,2015,SketchUp,9
59,Australia,Design,2015,Mixed-use,10
60,Australia,Education,2015,Staff Development,1
61,Australia,Education,2015,Curriculum Development,2
62,Australia,Education,2015,Educational Leadership,3
63,Australia,Education,2015,Higher Education,4
64,Australia,Education,2015,Educational Technology,5
65,Australia,Education,2015,Classroom Management,6
66,Australia,Education,2015,E-Learning,7
67,Australia,Education,2015,Lesson Planning,8
68,Australia,Education,2015,Teacher Training,9
69,Australia,Education,2015,Tutoring,10
70,Australia,Energy & Mining,2015,Mining,1
71,Australia,Energy & Mining,2015,Minerals,2
