,country_code,country_name,occupation_id,occupation_name,year_2,skill_change
0,au,Australia,11,Account Manager,2016,0.0199533491367
1,au,Australia,11,Account Manager,2017,0.0740621855958
2,au,Australia,11,Account Manager,2018,0.0872423845549
3,au,Australia,11,Account Manager,2019,0.159301773725
4,au,Australia,11,Account Manager,2020,0.230019102582
5,au,Australia,11,Account Manager,2021,0.22445960093
6,au,Australia,40,Accountant,2016,0.0129275851526
7,au,Australia,40,Accountant,2017,0.110446021981
8,au,Australia,40,Accountant,2018,0.13015249504
9,au,Australia,40,Accountant,2019,0.169926797114
10,au,Australia,40,Accountant,2020,0.160186087166
11,au,Australia,40,Accountant,2021,0.205036393234
12,au,Australia,30,Administrative Assistant,2016,0.0238899998953
13,au,Australia,30,Administrative Assistant,2017,0.0682485320167
14,au,Australia,30,Administrative Assistant,2018,0.0638193538846
15,au,Australia,30,Administrative Assistant,2019,0.141141164807
16,au,Australia,30,Administrative Assistant,2020,0.190763738024
17,au,Australia,30,Administrative Assistant,2021,0.167455789208
18,au,Australia,683,Administrative Officer,2016,0.031957026219
19,au,Australia,683,Administrative Officer,2017,0.0866826269275
20,au,Australia,683,Administrative Officer,2018,0.0946906129044
21,au,Australia,683,Administrative Officer,2019,0.20576844426
22,au,Australia,683,Administrative Officer,2020,0.211699118507
23,au,Australia,683,Administrative Officer,2021,0.255967483024
24,au,Australia,29,Business Analyst,2016,0.0113890224859
25,au,Australia,29,Business Analyst,2017,0.0661139744327
26,au,Australia,29,Business Analyst,2018,0.0746569867472
27,au,Australia,29,Business Analyst,2019,0.211840958112
28,au,Australia,29,Business Analyst,2020,0.219696959663
29,au,Australia,29,Business Analyst,2021,0.285463006859
30,au,Australia,42,Business Development Manager,2016,0.0185200823077
31,au,Australia,42,Business Development Manager,2017,0.0590371221667
32,au,Australia,42,Business Development Manager,2018,0.463804775177
33,au,Australia,42,Business Development Manager,2019,0.17043236796
34,au,Australia,42,Business Development Manager,2020,0.178487533563
35,au,Australia,42,Business Development Manager,2021,0.155650523491
36,au,Australia,247,Chef,2016,0.0208193821412
37,au,Australia,247,Chef,2017,0.0693436199807
38,au,Australia,247,Chef,2018,0.0973356794835
39,au,Australia,247,Chef,2019,0.168347907911
40,au,Australia,247,Chef,2020,0.346262306307
